date,high,low,close
2016-03-22,765.000000,757.880005,760.049988
2016-03-23,765.390015,756.030029,757.559998
2016-03-24,757.559998,750.500000,754.840027
2016-03-28,758.299988,752.039978,753.280029
2016-03-29,767.179993,748.289978,765.890015
2016-03-30,777.309998,767.580017,768.340027
2016-03-31,769.080017,758.250000,762.900024
2016-04-01,770.039978,755.200012,769.669983
2016-04-04,772.440002,761.789978,765.119995
2016-04-05,762.869995,755.599976,758.570007
2016-04-06,768.419983,756.299988,768.070007
2016-04-07,769.359985,757.500000,760.119995
2016-04-08,767.130005,755.770020,759.469971
2016-04-11,767.219971,757.340027,757.539978
2016-04-12,764.919983,751.570007,764.320007
2016-04-13,775.750000,764.590027,771.909973
2016-04-14,779.609985,773.219971,775.390015
2016-04-15,780.929993,774.929993,780.000000
2016-04-18,788.549988,777.609985,787.679993
2016-04-19,790.950012,770.270020,776.250000
2016-04-20,779.659973,771.270020,774.919983
2016-04-21,781.679993,771.549988,780.000000
2016-04-22,753.919983,730.369995,737.770020
2016-04-25,744.880005,735.099976,742.210022
2016-04-26,745.590027,720.320007,725.369995
2016-04-27,727.150024,709.080017,721.460022
2016-04-28,729.260010,703.200012,705.059998
2016-04-29,712.109985,703.780029,707.880005
2016-05-02,715.409973,706.359985,714.409973
2016-05-03,713.369995,707.330017,708.440002
2016-05-04,715.049988,704.049988,711.369995
2016-05-05,717.549988,709.450012,714.710022
2016-05-06,725.989990,711.950012,725.179993
2016-05-09,734.289978,723.500000,729.130005
2016-05-10,740.000000,731.609985,739.380005
2016-05-11,740.799988,727.900024,730.549988
2016-05-12,735.369995,724.270020,728.070007
2016-05-13,731.289978,723.510010,724.830017
2016-05-16,732.679993,720.000000,730.299988
2016-05-17,735.849976,718.000000,720.190002
2016-05-18,725.570007,715.020020,721.780029
2016-05-19,720.500000,710.309998,715.309998
2016-05-20,727.700012,715.010010,721.710022
2016-05-23,723.500000,716.940002,717.250000
2016-05-24,734.200012,719.650024,733.030029
2016-05-25,739.890015,732.599976,738.099976
2016-05-26,741.099976,733.000000,736.929993
2016-05-27,747.909973,737.010010,747.599976
2016-05-31,753.479980,745.570007,748.849976
2016-06-01,751.369995,744.340027,748.460022
2016-06-02,747.299988,737.000000,744.270020
2016-06-03,741.489990,733.909973,735.859985
2016-06-06,738.500000,728.289978,730.059998
2016-06-07,736.710022,730.799988,731.090027
2016-06-08,743.809998,735.770020,742.929993
2016-06-09,743.929993,736.500000,742.520020
2016-06-10,739.640015,730.510010,733.190002
2016-06-13,739.000000,729.820007,731.880005
2016-06-14,736.000000,726.500000,733.250000
2016-06-15,737.150024,731.309998,732.190002
2016-06-16,730.390015,715.539978,724.250000
2016-06-17,721.390015,701.119995,704.250000
2016-06-20,715.869995,705.409973,706.130005
2016-06-21,715.380005,704.659973,708.880005
2016-06-22,714.210022,705.880005,710.469971
2016-06-23,714.880005,700.250000,714.869995
2016-06-24,705.000000,684.909973,685.200012
2016-06-27,683.330017,672.659973,681.140015
2016-06-28,692.739990,684.849976,691.260010
2016-06-29,699.500000,692.679993,695.190002
2016-06-30,703.770020,694.900024,703.530029
2016-07-01,712.530029,703.729980,710.250000
2016-07-05,708.119995,699.130005,704.890015
2016-07-06,713.000000,699.000000,708.969971
2016-07-07,710.169983,700.669983,707.260010
2016-07-08,717.900024,708.109985,717.780029
2016-07-11,728.929993,718.869995,727.200012
2016-07-12,735.599976,727.500000,732.510010
2016-07-13,735.520020,729.020020,729.479980
2016-07-14,736.140015,730.590027,735.799988
2016-07-15,741.000000,734.640015,735.630005
2016-07-18,755.140015,736.510010,753.200012
2016-07-19,756.590027,748.489990,753.409973
2016-07-20,760.640015,754.049988,757.080017
2016-07-21,758.150024,751.520020,754.409973
2016-07-22,759.450012,752.659973,759.280029
2016-07-25,759.820007,754.070007,757.520020
2016-07-26,759.260010,752.750000,757.650024
2016-07-27,764.450012,755.929993,761.969971
2016-07-28,768.969971,759.090027,765.840027
2016-07-29,803.940002,790.000000,791.340027
2016-08-01,807.489990,785.039978,800.940002
2016-08-02,802.320007,794.530029,800.119995
2016-08-03,799.539978,793.020020,798.919983
2016-08-04,800.200012,793.919983,797.250000
2016-08-05,807.219971,797.809998,806.929993
2016-08-08,807.599976,801.690002,805.229980
2016-08-09,813.330017,804.059998,807.479980
2016-08-10,810.880005,806.489990,808.489990
2016-08-11,813.880005,806.000000,808.200012
2016-08-12,807.190002,803.640015,807.049988
2016-08-15,811.359985,804.030029,805.960022
2016-08-16,804.260010,797.000000,801.190002
2016-08-17,805.630005,796.299988,805.419983
2016-08-18,808.000000,801.630005,802.750000
2016-08-19,801.229980,796.880005,799.650024
2016-08-22,799.299988,794.330017,796.950012
2016-08-23,801.000000,795.989990,796.590027
2016-08-24,798.460022,790.760010,793.599976
2016-08-25,794.719971,787.229980,791.299988
2016-08-26,799.400024,789.409973,793.219971
2016-08-29,798.520020,790.320007,795.820007
2016-08-30,798.000000,789.469971,791.919983
2016-08-31,791.570007,787.200012,789.849976
2016-09-01,792.890015,786.330017,791.400024
2016-09-02,797.099976,793.260010,796.869995
2016-09-06,810.890015,795.429993,808.020020
2016-09-07,810.599976,803.719971,807.989990
2016-09-08,808.419983,801.010010,802.840027
2016-09-09,801.750000,788.049988,788.479980
2016-09-12,800.169983,783.500000,798.820007
2016-09-13,795.789978,784.330017,788.719971
2016-09-14,796.330017,787.530029,790.460022
2016-09-15,803.650024,788.659973,801.229980
2016-09-16,799.020020,793.619995,797.969971
2016-09-19,803.989990,793.559998,795.390015
2016-09-20,802.750000,798.260010,799.780029
2016-09-21,805.909973,796.030029,805.030029
2016-09-22,819.059998,807.710022,815.950012
2016-09-23,817.000000,812.729980,814.960022
